Core depth (mm);Age (years BCE/CE);W/C;DI;calculated temperature (°C)
1196,5;605,3820843;0,214285714;25,58139535;21,86089286
1199;602,1808811;0,235294118;25;21,92294118
1201,5;598,9784722;0,476190476;21,875;22,63442857
1204;595,7748576;0,580645161;20,68965517;22,94293548
1206,5;592,5700373;0,333333333;17,24137931;22,2125
1209;589,3640113;0,631578947;18,91891892;23,09336842
1211,5;586,1567797;0,235294118;28;21,92294118
1214;582,9483424;0,5;22,58064516;22,70475
1216,5;579,7386994;0,333333333;10;22,2125
1219;576,5278507;0,411764706;32;22,44414706
1221,5;573,3157963;0,5;24,44444444;22,70475
1224;570,1025363;0,421052632;30;22,47157895
1226,5;566,8880706;0,8125;35,13513514;23,62771875
1229;563,6723992;0,774193548;26,47058824;23,51458065
1231,5;560,4555222;0,5;25;22,70475
1234;557,2374394;0,565217391;29,78723404;22,89736957
1236,5;554,018151;0,4375;15,38461538;22,52015625
1239;550,7976569;0,714285714;26,66666667;23,33764286
1241,5;547,5759571;0,583333333;42,5;22,950875
1244;544,3530517;0,558823529;26,66666667;22,87848529
1246,5;541,1289406;0,352941176;13,51351351;22,27041176
1249;537,9036238;0,3125;31,88405797;22,15096875
1251,5;534,6771013;0,4;17,85714286;22,4094
1254;531,4493731;0,461538462;17,24137931;22,59115385
1256,5;528,2204393;0,5625;28,57142857;22,88934375
1259;524,9902998;0,466666667;20;22,6063
1261,5;521,7589546;0,473684211;12,12121212;22,62702632
1264;518,5264037;0,352941176;20;22,27041176
1266,5;515,2926471;0,6;23,07692308;23,0001
1269;512,0576849;0,631578947;19,04761905;23,09336842
1271,5;508,821517;0,714285714;31,81818182;23,33764286
1274;505,5841434;0,615384615;21,875;23,04553846
1276,5;502,3455642;0,8;24,32432432;23,5908
1279;499,1057792;0,833333333;17,14285714;23,68925
1281,5;495,8647886;0,733333333;31,42857143;23,3939
1284;492,6225923;0,833333333;22,22222222;23,68925
1286,5;489,3791904;0,642857143;33,33333333;23,12667857
1289;486,1345827;0,538461538;33,33333333;22,81834615
1291,5;482,8887694;0,5;20,83333333;22,70475
1294;479,6417504;0,833333333;22,22222222;23,68925
1296,5;476,3935257;0,818181818;28,57142857;23,6445
1299;473,1440953;0,769230769;34,09090909;23,49992308
1301,5;469,8934593;0,777777778;21,42857143;23,52516667
1304;466,6416176;0,777777778;29,8245614;23,52516667
1306,5;463,3885702;0,772727273;14,28571429;23,51025
1309;460,1343171;0,714285714;22,4137931;23,33764286
1311,5;456,8788584;0,666666667;16,12903226;23,197
1314;453,6221939;0,769230769;45,71428571;23,49992308
1316,5;450,3643238;0,8;12,82051282;23,5908
1319;447,1052481;0,875;20;23,8123125
1321,5;443,8449666;0,666666667;28,20512821;23,197
1324;440,5834795;0,705882353;26,31578947;23,31282353
1326,5;437,3207866;0,769230769;9,677419355;23,49992308
1329;434,0568882;0,695652174;16,66666667;23,2826087
1331,5;430,791784;0,416666667;26,47058824;22,458625
1334;427,5254741;0,461538462;20,68965517;22,59115385
1336,5;424,2579586;0,6;26,31578947;23,0001
1339;420,9892374;0,625;25;23,0739375
1341,5;417,7193105;0,666666667;21,95121951;23,197
1344;414,448178;0,833333333;20,58823529;23,68925
1346,5;411,1758397;0,708333333;16,27906977;23,3200625
1349;407,9022958;0,714285714;6,666666667;23,33764286
1351,5;404,6275462;0,684210526;20;23,24881579
1354;401,351591;0,5;21,95121951;22,70475
1356,5;398,07443;0,818181818;5;23,6445
1359;394,7960634;0,571428571;12,24489796;22,91571429
1361,5;391,5164911;0,676470588;16,94915254;23,22595588
1364;388,2357131;0,8;29,72972973;23,5908
1366,5;384,9537294;0,8;20,40816327;23,5908
1369;381,6705401;0,818181818;26,92307692;23,6445
1371,5;378,3861451;0,76;30;23,47266
1374;375,1005444;0,571428571;20;22,91571429
1376,5;371,813738;1;14,28571429;24,1815
1379;368,525726;0,785714286;27,27272727;23,54860714
1381,5;365,2365083;0;0;0
1384;361,9460849;0,526315789;18,05555556;22,78247368
1386,5;358,6544558;0,652173913;25;23,15419565
1389;355,361621;0,458333333;20,93023256;22,5816875
1391,5;352,0675806;0;0;0
1394;348,7723345;0,777777778;9,756097561;23,52516667
1396,5;345,4758827;0,619047619;15,78947368;23,05635714
1399;342,1782252;0,8;8,510638298;23,5908
1401,5;338,8793621;0,678571429;10,60606061;23,23216071
1404;335,5792932;0,736842105;20;23,40426316
1406,5;332,2780187;0,838709677;18,57142857;23,70512903
1409;328,9755386;0,894736842;12,82051282;23,87060526
1411,5;325,6718527;0,692307692;14,70588235;23,27273077
1414;322,3669612;0,814814815;19,14893617;23,63455556
1416,5;319,0608639;0,583333333;22,80701754;22,950875
1419;315,7535611;0,625;19,56521739;23,0739375
1421,5;312,4450525;0,666666667;26,82926829;23,197
1424;309,1353382;0,6;23,40425532;23,0001
1426,5;305,8244183;0,733333333;11,53846154;23,3939
1429;302,5122927;0,7;12,72727273;23,29545
1431,5;299,1989614;0,64;15,2173913;23,11824
1434;295,8844245;0,695652174;11,62790698;23,2826087
1436,5;292,5686818;0,548387097;10,41666667;22,84766129
1439;289,2517335;0,909090909;15,78947368;23,913
1441,5;285,9335795;0,517241379;16,36363636;22,75567241
1444;282,6142199;0,8;12,19512195;23,5908
1446,5;279,2936545;0,842105263;13,51351351;23,71515789
1449;275,9718835;0,9;15,15151515;23,88615
1451,5;272,6489068;0,473684211;15,15151515;22,62702632
1454;269,3247244;0,486486486;10,95890411;22,66483784
1456,5;265,9993364;0,411764706;21,95121951;22,44414706
1459;262,6727426;0,575757576;19,35483871;22,9285
1461,5;259,3449432;0,5;28,57142857;22,70475
1464;256,0159381;0,75;7,5;23,443125
1466,5;252,6857274;0,631578947;23,68421053;23,09336842
1469;249,3543109;0,692307692;7,142857143;23,27273077
1471,5;246,0216888;0,7;15,38461538;23,29545
1474;242,687861;0,84;19,44444444;23,70894
1476,5;239,3528275;0,764705882;21,62162162;23,48655882
1479;236,0165884;0,863636364;16,21621622;23,77875
1481,5;232,6791435;0,766666667;13,7254902;23,49235
1484;229,340493;0,772727273;19,44444444;23,51025
1486,5;226,0006368;0,833333333;20;23,68925
1489;222,659575;0,642857143;21,73913043;23,12667857
1491,5;219,3173074;0,75;11,76470588;23,443125
1494;215,9738342;0,433333333;7,547169811;22,50785
1496,5;212,6291553;0,727272727;13,46153846;23,376
1499;209,2832707;0,59375;22,22222222;22,98164063
1501,5;205,9361805;0,625;30,23255814;23,0739375
1504;202,5878845;0,444444444;15,625;22,54066667
1506,5;199,2383829;0,666666667;26,66666667;23,197
1509;195,8876756;0,681818182;27,65957447;23,24175
1511,5;192,5357627;0,857142857;17,07317073;23,75957143
1514;189,182644;0,571428571;39,13043478;22,91571429
1516,5;185,8283197;0,75;22,85714286;23,443125
1519;182,4727897;0,823529412;40;23,66029412
1521,5;179,116054;0,727272727;30;23,376
1524;175,7581127;0,533333333;15,15151515;22,8032
1526,5;172,3989656;0,722222222;26,66666667;23,36108333
1529;169,0386129;0,714285714;39,53488372;23,33764286
1531,5;165,6770545;0,6;28,20512821;23,0001
1534;162,3142905;0,764705882;41,46341463;23,48655882
1536,5;158,9503207;0,733333333;36,84210526;23,3939
1539;155,5851453;0,846153846;35,8974359;23,72711538
1541,5;152,2187642;0,705882353;32,43243243;23,31282353
1544;148,8511774;0,866666667;15,625;23,7877
1546,5;145,482385;0,666666667;29,03225806;23,197
1549;142,1123868;0,75;30,95238095;23,443125
1551,5;138,741183;0,65;19,14893617;23,147775
1554;135,3687735;0,869565217;30,43478261;23,79626087
1556,5;131,9951584;0,8;41,93548387;23,5908
1559;128,6203375;0,772727273;25,53191489;23,51025
1561,5;125,244311;0,827586207;23,21428571;23,67227586
1564;121,8670788;0,95;27,77777778;24,033825
1566,5;118,4886409;1;40,625;24,1815
1569;115,1089974;0,823529412;27,02702703;23,66029412
1571,5;111,7281481;0,875;33,33333333;23,8123125
1574;108,3460932;0,857142857;29,03225806;23,75957143
1576,5;104,9628326;0,941176471;35,8974359;24,00776471
1579;101,5783664;0,846153846;38,23529412;23,72711538
1581,5;98,19269444;0,928571429;32,14285714;23,97053571
1584;94,80581681;1;50;24,1815
1586,5;91,41773352;0,916666667;35,71428571;23,935375
1589;88,02844454;1;29,41176471;24,1815
1591,5;84,63794989;1;35,13513514;24,1815
1594;81,24624955;0,941176471;23,52941176;24,00776471
1596,5;77,85334355;0,857142857;31,57894737;23,75957143
1599;74,45923186;1;39,39393939;24,1815
1601,5;71,06391449;0,866666667;25;23,7877
1604;67,66739145;0,894736842;21,21212121;23,87060526
1606,5;64,26966273;1;21,42857143;24,1815
1609;60,87072833;0,95;36,36363636;24,033825
1611,5;57,47058826;1;32,25806452;24,1815
1614;54,0692425;0,923076923;36,66666667;23,95430769
1616,5;50,66669107;1;30;24,1815
1619;47,26293396;0,866666667;38,70967742;23,7877
1621,5;43,85797118;1;34,28571429;24,1815
1624;40,45180271;0,818181818;44,44444444;23,6445
1626,5;37,04442857;0,888888889;36,58536585;23,85333333
1629;33,63584875;0,785714286;40;23,54860714
1631,5;30,22606325;1;30,43478261;24,1815
1634;26,81507208;0,9375;33,33333333;23,99690625
1636,5;23,40287523;1;44,44444444;24,1815
1639;19,98947269;1;43,33333333;24,1815
1641,5;16,57486449;1;27,5862069;24,1815
1644;13,1590506;1;37,5;24,1815
1646,5;9,742031037;1;27,5862069;24,1815
1649;6,323805795;1;44;24,1815
1651,5;2,904374876;1;56,66666667;24,1815
1654;-0,516261721;0,95;27,65957447;24,033825
1656,5;-3,938103996;1;47,05882353;24,1815
1659;-7,361151949;1;27,27272727;24,1815
1661,5;-10,78540558;0,9;42,85714286;23,88615
1664;-14,21086489;0,928571429;30,95238095;23,97053571
1666,5;-17,63752987;0,9375;38,0952381;23,99690625
1669;-21,06540054;1;37,14285714;24,1815
1671,5;-24,49447688;0,928571429;25;23,97053571
1674;-27,9247589;0,933333333;37,77777778;23,9846
1676,5;-31,35624659;0,9375;47,05882353;23,99690625
1679;-34,78893997;0,894736842;29,72972973;23,87060526
1681,5;-38,22283902;0,909090909;24,32432432;23,913
1684;-41,65794375;0,947368421;21,62162162;24,02605263
1686,5;-45,09425416;1;21,42857143;24,1815
1689;-48,53177024;1;27,5;24,1815
1691,5;-51,970492;1;38,88888889;24,1815
1694;-55,41041944;0,9;48,38709677;23,88615
1696,5;-58,85155256;0,913043478;20,45454545;23,92467391
1699;-62,29389136;0,84375;22,22222222;23,72001563
1701,5;-65,73743583;0,903225806;20,28985507;23,89567742
1704;-69,18218598;0,857142857;19,56521739;23,75957143
1706,5;-72,62814181;0,909090909;9,090909091;23,913
1709;-76,07530332;1;42,10526316;24,1815
1711,5;-79,52367051;0,916666667;14,81481481;23,935375
1714;-82,97324337;0,894736842;27,27272727;23,87060526
1716,5;-86,42402191;0,923076923;23,80952381;23,95430769
1719;-89,87600613;0,944444444;27,11864407;24,01741667
1721,5;-93,32919602;0,875;30,23255814;23,8123125
1724;-96,7835916;0,857142857;42;23,75957143
1726,5;-100,2391928;0;0;0
1729;-103,6959998;1;29,78723404;24,1815
1731,5;-107,1540124;1;25,53191489;24,1815
1734;-110,6132307;0,8125;22,91666667;23,62771875
1736,5;-114,0736546;0,888888889;31,03448276;23,85333333
1739;-117,5352843;0,818181818;24,24242424;23,6445
1741,5;-120,9981196;0,913043478;33,33333333;23,92467391
1744;-124,4621606;1;26,66666667;24,1815
1746,5;-127,9274073;0,833333333;29,41176471;23,68925
1749;-131,3938596;1;35,48387097;24,1815
1751,5;-134,8615176;0,923076923;27,77777778;23,95430769
1754;-138,3303813;0,888888889;27,5;23,85333333
1756,5;-141,8004507;0,866666667;20,58823529;23,7877
1759;-145,2717258;0,894736842;20;23,87060526
1761,5;-148,7442065;0,947368421;26,53061224;24,02605263
1764;-152,2178929;0,7;22,22222222;23,29545
1766,5;-155,692785;1;30,76923077;24,1815
1769;-159,1688828;0,909090909;32,35294118;23,913
1771,5;-162,6461863;0,923076923;16,66666667;23,95430769
1774;-166,1246954;0,882352941;16,21621622;23,83402941
1776,5;-169,6044102;1;12,90322581;24,1815
1779;-173,0853307;0,964285714;7,142857143;24,07601786
1781,5;-176,5674568;0,875;23,07692308;23,8123125
1784;-180,0507887;0,857142857;14,70588235;23,75957143
1786,5;-183,5353262;0,846153846;34,7826087;23,72711538
1789;-187,0210694;0,933333333;22,22222222;23,9846
1791,5;-190,5080183;0,941176471;38,29787234;24,00776471
1794;-193,9961728;0,941176471;20,93023256;24,00776471
1796,5;-197,485533;0,727272727;38,29787234;23,376
1799;-200,9760989;0,90625;30,58823529;23,90460938
1801,5;-204,4678705;0,916666667;23,15789474;23,935375
1804;-207,9608478;0,977272727;23,48484848;24,114375
