Year;Day;Date;AvtTemperature;Precipitation
1850;1;1850-01-01;7.65300903320315;0.0480741322462563
1850;2;1850-01-02;8.4588562011719;0.918912314227782
1850;3;1850-01-03;1.84237060546877;0.0608631664363202
1850;4;1850-01-04;-0.836889648437477;1.77248725696799e-06
1850;5;1850-01-05;0.364739990234398;0.85612905677408
1850;6;1850-01-06;0.0455261230468977;0.00162194261861259
1850;7;1850-01-07;1.5305114746094;0.00493040907940667
1850;8;1850-01-08;-0.0471557617187273;0
1850;9;1850-01-09;-0.898046874999977;3.91472647602863e-12
1850;10;1850-01-10;-1.8479064941406;1.30757792289084e-09
1850;11;1850-01-11;2.50884399414065;0.00223100887524197
1850;12;1850-01-12;7.01088867187502;0.0493414612719789
1850;13;1850-01-13;5.7678161621094;3.97085705772042
1850;14;1850-01-14;5.05184326171877;0.129123837177758
1850;15;1850-01-15;3.8738952636719;3.33878947421908
1850;16;1850-01-16;4.17519531250002;0.647504691733047
1850;17;1850-01-17;3.94332275390627;0.0184601590717648
1850;18;1850-01-18;2.51326904296877;2.10066298604943
1850;19;1850-01-19;5.8784118652344;2.83860390773043
1850;20;1850-01-20;7.7861267089844;0.0303216075735691
1850;21;1850-01-21;5.32369384765627;0.010398954145785
1850;22;1850-01-22;3.02813110351565;7.27873754921126e-11
1850;23;1850-01-23;8.28762207031252;2.13436252671784e-05
1850;24;1850-01-24;8.8903747558594;0.00358668430635589
1850;25;1850-01-25;5.34319458007815;0.000234926139341951
1850;26;1850-01-26;5.57741699218752;1.24395712480796e-07
1850;27;1850-01-27;5.08693847656252;2.72281952843831e-09
1850;28;1850-01-28;4.54216918945315;1.5534173010423e-07
1850;29;1850-01-29;1.71511230468752;1.08726852521279e-06
1850;30;1850-01-30;3.55352172851565;6.44980662628525e-08
1850;31;1850-01-31;3.7902770996094;2.47034180221248e-09
1850;32;1850-02-01;7.76128540039065;0.0781533120971289
1850;33;1850-02-02;5.5936218261719;0.0105325394997635
1850;34;1850-02-03;1.45437011718752;3.27055608528601e-13
1850;35;1850-02-04;1.79897460937502;1.80844701713756e-07
1850;36;1850-02-05;4.30922851562502;8.86143190825806e-05
1850;37;1850-02-06;8.02474365234377;0.120115651952801
1850;38;1850-02-07;9.24965820312502;3.09346573194489
1850;39;1850-02-08;7.2316833496094;6.58164995256811
1850;40;1850-02-09;5.54497680664065;0.217523647734197
1850;41;1850-02-10;7.31548461914065;0.0858463619806571
1850;42;1850-02-11;6.98345336914065;0.0953672348259715
1850;43;1850-02-12;6.17583618164065;0.204775087331655
1850;44;1850-02-13;4.1553894042969;1.84470988289463e-09
1850;45;1850-02-14;2.34868774414065;6.75698262966873e-08
1850;46;1850-02-15;3.97878417968752;0.00160163834834748
1850;47;1850-02-16;6.2159362792969;0.000624302900575913
1850;48;1850-02-17;6.01921997070315;0.0175385467173328
1850;49;1850-02-18;7.54143676757815;0.00585430179853574
1850;50;1850-02-19;9.8260437011719;6.88285720534623
1850;51;1850-02-20;5.5960632324219;3.92536061117426
1850;52;1850-02-21;3.99984130859377;0.129966198801412
1850;53;1850-02-22;2.26326904296877;0.0122466014545353
1850;54;1850-02-23;2.7686706542969;0.100115638633724
1850;55;1850-02-24;1.43380126953127;0.282274399796734
1850;56;1850-02-25;0.365045166015648;0.00640646560441382
1850;57;1850-02-26;0.00975952148439774;0.110839714034228
1850;58;1850-02-27;-0.0549072265624773;0.000894231018833125
1850;59;1850-02-28;0.0855346679687727;5.23014130303636
1850;60;1850-03-01;-0.889990234374977;2.81202174955979
1850;61;1850-03-02;-0.107061767578102;2.56622998276725
1850;62;1850-03-03;0.568139648437523;4.25703880609944
1850;63;1850-03-04;3.51677856445315;0.0992789937299676
1850;64;1850-03-05;3.22783813476565;0.326669562491588
1850;65;1850-03-06;1.87703857421877;0.0899995688087074
1850;66;1850-03-07;3.10860595703127;0.00558636431833293
1850;67;1850-03-08;1.68087158203127;0.000807858560847308
1850;68;1850-03-09;3.07280883789065;1.5872273594141
1850;69;1850-03-10;3.39266357421877;1.84976873818243e-05
1850;70;1850-03-11;4.6330505371094;0.000215070866715905
1850;71;1850-03-12;6.59929809570315;3.57899647418503e-09
1850;72;1850-03-13;7.86971435546877;0.112112352144322
1850;73;1850-03-14;11.2374816894531;0.0615198820014484
1850;74;1850-03-15;10.0647827148438;3.0656750081107
1850;75;1850-03-16;6.54290161132815;0.928805264993571
1850;76;1850-03-17;7.1177917480469;0.0028136950049884
1850;77;1850-03-18;10.1673828125;0.47190725163091
1850;78;1850-03-19;9.90944824218752;0.0384478954401857
1850;79;1850-03-20;8.59481201171877;0.0695874654411455
1850;80;1850-03-21;10.5993591308594;1.60666342126206
1850;81;1850-03-22;9.49263916015627;0.0138047415930487
1850;82;1850-03-23;9.2292419433594;1.32932241214689e-05
1850;83;1850-03-24;11.3720947265625;1.84748576721177
1850;84;1850-03-25;11.2753234863281;0.140831915268791
1850;85;1850-03-26;13.7593627929688;0.00472047586299595
1850;86;1850-03-27;12.8984924316406;0.638518479536287
1850;87;1850-03-28;8.11513671875002;0.0295908717816928
1850;88;1850-03-29;5.9288269042969;0.368842296302319
1850;89;1850-03-30;6.01833496093752;7.68506586368289e-05
1850;90;1850-03-31;8.3281188964844;12.8939503803849
1850;91;1850-04-01;7.72951660156252;20.2373512554914
1850;92;1850-04-02;3.39766845703127;2.69057960249484
1850;93;1850-04-03;5.28188476562502;0.134388189690071
1850;94;1850-04-04;6.20000610351565;0.0430024341767421
1850;95;1850-04-05;6.8370300292969;5.93962207418031e-05
1850;96;1850-04-06;8.71819458007815;3.42327102664797e-05
1850;97;1850-04-07;8.57833251953127;1.04419118351906e-06
1850;98;1850-04-08;10.6244750976563;0
1850;99;1850-04-09;12.312646484375;0
1850;100;1850-04-10;14.1424499511719;0
1850;101;1850-04-11;15.4721618652344;9.35906477317339e-07
1850;102;1850-04-12;16.1711364746094;5.06196864424879e-06
1850;103;1850-04-13;16.0330444335938;0
1850;104;1850-04-14;17.8888793945313;0.278502032597316
1850;105;1850-04-15;14.1810546875;3.09402805309622e-14
1850;106;1850-04-16;12.3576293945313;7.3455163826508e-08
1850;107;1850-04-17;15.3646179199219;0.0560265218155109
1850;108;1850-04-18;13.820703125;3.94915976794437
1850;109;1850-04-19;12.1216674804688;0.0289816211989091
1850;110;1850-04-20;13.9828125;0.0635878956018132
1850;111;1850-04-21;14.220849609375;3.55409244515072e-10
1850;112;1850-04-22;14.6244445800781;4.94727540184536e-09
1850;113;1850-04-23;14.1901489257813;8.45577553289234e-09
1850;114;1850-04-24;15.1664367675781;0.00107110593035031
1850;115;1850-04-25;17.1678100585938;0.0943208688113373
1850;116;1850-04-26;16.268212890625;0.935503846267238
1850;117;1850-04-27;12.7161804199219;26.4024895615876
1850;118;1850-04-28;6.30388793945315;11.469435878098
1850;119;1850-04-29;10.97060546875;0.147615029345616
1850;120;1850-04-30;12.9901062011719;7.18370563035364e-05
1850;121;1850-05-01;13.5741516113281;0.00990628425370232
1850;122;1850-05-02;15.0754028320313;0.348494820354972
1850;123;1850-05-03;15.6318298339844;0.714625819819048
1850;124;1850-05-04;15.4985900878906;3.73040168755168e-06
1850;125;1850-05-05;15.3183837890625;0.0666496165649733
1850;126;1850-05-06;16.4494873046875;0.0811442370832083
1850;127;1850-05-07;16.5411010742188;1.0445045249071
1850;128;1850-05-08;16.1765075683594;1.67137056123465
1850;129;1850-05-09;15.9019714355469;0.241004357667407
1850;130;1850-05-10;14.7682434082031;0.995788720319979
1850;131;1850-05-11;14.1238342285156;2.53894955967553
1850;132;1850-05-12;11.6254211425781;3.47892651334405
1850;133;1850-05-13;14.1468139648438;0.823233518167399
1850;134;1850-05-14;15.7912841796875;1.97205776930787
1850;135;1850-05-15;17.0436340332031;1.48174193233049e-14
1850;136;1850-05-16;17.1889587402344;0
1850;137;1850-05-17;19.0297790527344;8.33111298698119e-08
1850;138;1850-05-18;19.5425659179688;0.293861857062439
1850;139;1850-05-19;18.2295471191406;0.180559651198564
1850;140;1850-05-20;19.1138854980469;0.416281445359346
1850;141;1850-05-21;18.6977783203125;0.0828067564725643
1850;142;1850-05-22;18.7920166015625;3.57011393914626e-14
1850;143;1850-05-23;18.2584777832031;0
1850;144;1850-05-24;19.6846862792969;1.11032377654725e-12
1850;145;1850-05-25;20.9038940429688;1.41672397690204e-10
1850;146;1850-05-26;20.9146057128906;0.0329055600559514
1850;147;1850-05-27;19.6606384277344;8.61493516713381
1850;148;1850-05-28;17.475;1.42784646595828
1850;149;1850-05-29;18.0745788574219;0
1850;150;1850-05-30;19.545068359375;2.47355342726223
1850;151;1850-05-31;21.5657287597656;0.00459358395801246
1850;152;1850-06-01;23.0343872070313;5.87961410425152e-14
1850;153;1850-06-02;23.152734375;0
1850;154;1850-06-03;22.3710571289063;0
1850;155;1850-06-04;21.9695373535156;9.82111599077268e-09
1850;156;1850-06-05;22.2842956542969;0.0362769759703951
1850;157;1850-06-06;17.41689453125;8.41434532776475
1850;158;1850-06-07;17.5806823730469;2.50354440067895
1850;159;1850-06-08;18.0840393066406;3.18246897077188
1850;160;1850-06-09;19.0720458984375;8.30407321918756
1850;161;1850-06-10;20.7665344238281;2.42659837240353
1850;162;1850-06-11;20.1349731445313;5.09073946159333
